tag,nf_true,nf_pred,count,ratio_in_nf_wrong
onevar_all,1,0,87,0.20232558139534884
onevar_all,3,2,62,0.14418604651162792
onevar_all,2,3,54,0.12558139534883722
onevar_all,3,0,52,0.12093023255813953
onevar_all,2,0,49,0.11395348837209303
onevar_all,2,1,45,0.10465116279069768
onevar_all,1,2,34,0.07906976744186046
onevar_all,3,1,28,0.06511627906976744
onevar_all,1,3,19,0.044186046511627906
onevar_dual,1,0,21,0.21428571428571427
onevar_dual,3,2,19,0.19387755102040816
onevar_dual,2,1,12,0.12244897959183673
onevar_dual,2,3,12,0.12244897959183673
onevar_dual,3,0,12,0.12244897959183673
onevar_dual,2,0,9,0.09183673469387756
onevar_dual,3,1,7,0.07142857142857142
onevar_dual,1,2,4,0.04081632653061224
onevar_dual,1,3,2,0.02040816326530612
onevar_multi,1,0,66,0.19879518072289157
onevar_multi,3,2,43,0.12951807228915663
onevar_multi,2,3,42,0.12650602409638553
onevar_multi,2,0,40,0.12048192771084337
onevar_multi,3,0,40,0.12048192771084337
onevar_multi,2,1,33,0.09939759036144578
onevar_multi,1,2,30,0.09036144578313253
onevar_multi,3,1,21,0.06325301204819277
onevar_multi,1,3,17,0.05120481927710843
baseline_all,3,2,92,0.22942643391521197
baseline_all,1,0,68,0.16957605985037408
baseline_all,1,2,45,0.11221945137157108
baseline_all,2,3,43,0.10723192019950124
baseline_all,2,0,40,0.09975062344139651
baseline_all,3,0,36,0.08977556109725686
baseline_all,2,1,34,0.08478802992518704
baseline_all,1,3,25,0.06234413965087282
baseline_all,3,1,18,0.04488778054862843
