sample_idx,slot,k_active,nf_true,nf_pred,jnr_db,sisdr_db,mix_sisdr_db,sisdri_db,abs_tl_err_us,abs_ts_err_us,ok_tl,ok_ts,ok_nf,ok_total,burst_count,active_len_ratio,overlap_ratio,pred_energy_ratio,max_collapse_cos,is_sep_fail,reason_primary,reason_flags
0,1,2,1,1,-1.1598340272903442,7.419893594280376,-12.33447491614968,19.754368510430055,0.024273157119750977,0.038277626037597656,1,1,1,1,1,0.06925,1.0,0.8615133762359619,0.8621719479560852,0,heavy_overlap,heavy_overlap;low_jnr;single_cycle
0,2,2,2,2,11.012158393859863,22.485600589922853,6.755024924039581,15.730575665883272,0.01919865608215332,0.0575861930847168,1,1,1,1,1,0.1025,0.675609756097561,31.818395614624023,0.8604945540428162,0,heavy_overlap,heavy_overlap;single_cycle
1,0,3,1,1,-4.412161827087402,-0.4200781563455028,-18.358541773033355,17.93846361668785,0.31872987747192383,0.6101052761077881,0,0,1,0,2,0.0895,0.5,32.076812744140625,0.41192299127578735,0,low_jnr,low_jnr;sep_negative;tl_out_tol;ts_out_tol
1,1,3,2,0,-6.32415771484375,-5.209497937545287,-19.794681998764343,14.585184061219056,0.8519793748855591,0.13001585006713867,0,1,0,0,2,0.122,0.3668032786885246,0.05682998523116112,0.8012418150901794,0,nf_miss_to_0,low_jnr;nf_miss_to_0;sep_negative;tl_out_tol
1,2,3,3,3,12.576506614685059,26.158807004126594,7.885647595678098,18.273159408448496,0.03680300712585449,0.14575862884521484,1,1,1,1,1,0.07875,0.0,31.290176391601562,0.8012418150901794,0,single_cycle,single_cycle
2,0,3,2,2,-4.503344535827637,5.256100945263185,-14.318883841792275,19.57498478705546,0.0771329402923584,0.2383136749267578,1,1,1,1,1,0.122,0.0,22.292871475219727,0.2799089550971985,0,single_cycle,low_jnr;single_cycle
2,1,3,1,1,-1.5775517225265503,6.532346461933574,-11.646890269102766,18.17923673103634,0.03808879852294922,0.3595848083496094,1,0,1,0,2,0.103,0.21844660194174756,0.7899991273880005,0.5029532313346863,0,low_jnr,low_jnr;ts_out_tol
2,2,3,1,1,8.666083335876465,26.504452695544373,3.706825464282644,22.79762723126173,0.08803427219390869,0.1761023998260498,1,1,1,1,4,0.16,0.140625,32.1362190246582,0.5029532313346863,0,other,
3,0,2,3,3,-2.1204679012298584,2.6517885899898292,-8.818445771572476,11.470234361562305,0.07947289943695068,0.10996675491333008,1,1,1,1,1,0.12525,0.2694610778443114,8.79328727722168,0.2364281266927719,0,single_cycle,low_jnr;single_cycle
3,2,2,3,3,5.020929336547852,16.165499567269876,1.0218966104211507,15.143602956848726,0.022351622581481934,0.08930778503417969,1,1,1,1,1,0.10575,0.3191489361702128,24.519283294677734,0.686490535736084,0,single_cycle,single_cycle
4,0,3,3,3,2.2497358322143555,-2.4502632798824204,-15.246083509581776,12.795820229699356,0.07209062576293945,0.27506542205810547,1,0,1,0,1,0.21,0.5714285714285714,12.41808032989502,0.08524306863546371,0,single_cycle,sep_negative;single_cycle;ts_out_tol
4,1,3,3,3,12.431750297546387,16.52353133662003,-5.709949780966407,22.23348111758644,0.010693788528442383,0.07417106628417969,1,1,1,1,1,0.22425,0.0,4.712369441986084,0.16003206372261047,0,single_cycle,single_cycle
4,2,3,2,2,17.844512939453125,21.688044838159787,4.643231980124123,17.044812858035662,0.019806385040283203,0.05948352813720703,1,1,1,1,1,0.12,1.0,31.378177642822266,0.16003206372261047,0,heavy_overlap,heavy_overlap;single_cycle
5,0,3,1,1,-8.964948654174805,-0.5170343766570444,-15.610860824677488,15.093826448020444,0.2639540433883667,0.5279009342193604,0,0,1,0,4,0.158,0.0,9.731388092041016,0.35351642966270447,0,low_jnr,low_jnr;sep_negative;tl_out_tol;ts_out_tol
5,1,3,1,0,-1.8303238153457642,-10.648201050565424,-7.704561942043403,-2.943639108522021,0.13112759590148926,1.739241361618042,1,0,0,0,1,0.0555,0.0,0.08656798303127289,0.6057789325714111,1,nf_miss_to_0,low_jnr;nf_miss_to_0;sep_negative;sep_worse_than_mix;single_cycle;ts_out_tol
5,2,3,1,1,1.7353984117507935,3.1715136735797813,-2.6914554141182623,5.862969087698044,0.2821298837661743,0.564183235168457,0,0,1,0,1,0.05275,0.0,21.309202194213867,0.6057789325714111,0,single_cycle,single_cycle;tl_out_tol;ts_out_tol
6,0,3,2,2,2.3901851177215576,14.02369344409804,-14.235318032938816,28.259011477036857,0.018910646438598633,0.05647087097167969,1,1,1,1,1,0.135,0.0,25.30937957763672,0.1435529887676239,0,single_cycle,single_cycle
6,1,3,1,1,10.160181045532227,10.0932688140833,-5.3232545895695695,15.41652340365287,0.18793749809265137,0.373837947845459,0,0,1,0,1,0.073,0.1267123287671233,1.748846411705017,0.1435529887676239,0,single_cycle,single_cycle;tl_out_tol;ts_out_tol
6,2,3,1,1,15.412013053894043,17.443043877161713,3.831504160387561,13.611539716774153,0.039238691329956055,0.07816600799560547,1,1,1,1,2,0.12,0.07708333333333334,28.819686889648438,0.12062221765518188,0,other,
7,1,2,1,1,0.06860940903425217,21.43347658304836,-10.615512231142274,32.048988814190636,0.08302736282348633,0.15193986892700195,1,1,1,1,1,0.068,0.0,1.8134636878967285,0.476713091135025,0,single_cycle,single_cycle
7,2,2,1,1,9.771506309509277,30.56144651390174,4.9988228071454754,25.562623706756263,0.0910947322845459,0.18251371383666992,1,1,1,1,1,0.06175,0.0,27.169782638549805,0.5227029919624329,0,single_cycle,single_cycle
8,0,2,2,2,-8.798174858093262,0.4488510631350217,-20.82153626427203,21.27038732740705,0.050743937492370605,0.15111637115478516,1,1,1,1,3,0.2265,0.4227373068432671,23.48560905456543,0.6623663306236267,0,low_jnr,low_jnr
8,2,2,3,3,7.018965244293213,21.67622116476941,3.615772084927893,18.060449079841515,0.08314096927642822,0.3329925537109375,1,0,1,0,2,0.1845,0.518970189701897,32.61764144897461,0.3401126563549042,0,ts_out_tol,ts_out_tol
9,1,2,2,2,9.570015907287598,20.342758728778314,-6.098177993272841,26.440936722051156,0.028914213180541992,0.051055908203125,1,1,1,1,1,0.0785,0.0,2.3099799156188965,0.7135253548622131,0,single_cycle,single_cycle
9,2,2,2,2,15.399394035339355,32.35036975764498,4.95448915078459,27.395880606860388,0.08401823043823242,0.25197935104370117,1,0,1,0,1,0.108,0.0,30.931285858154297,0.7135253548622131,0,single_cycle,single_cycle;ts_out_tol
10,0,3,3,3,-2.455869674682617,13.809528614894555,-9.093511519649228,22.903040134543783,0.017268657684326172,0.06873416900634766,1,1,1,1,1,0.19425,0.0,44.86907196044922,0.8005321025848389,0,single_cycle,low_jnr;single_cycle
10,1,3,1,1,-5.618692874908447,-3.6953150291350156,-8.841983588841428,5.146668559706413,0.36696553230285645,0.7900948524475098,0,0,1,0,1,0.05,1.0,0.3040910065174103,0.8005321025848389,0,heavy_overlap,heavy_overlap;low_jnr;sep_negative;single_cycle;tl_out_tol;ts_out_tol
10,2,3,2,2,2.801403045654297,11.233929315961447,-1.1747213992181202,12.408650715179567,0.05893397331237793,0.17679405212402344,1,1,1,1,1,0.1125,0.4444444444444444,20.713735580444336,0.28430888056755066,0,single_cycle,single_cycle
11,0,3,3,3,-3.8857555389404297,13.620554390695121,-23.55278521410831,37.17333960480343,0.033208608627319336,0.1391010284423828,1,1,1,1,1,0.16425,0.0,42.51056671142578,0.1789054423570633,0,single_cycle,low_jnr;single_cycle
11,1,3,2,2,14.435215950012207,8.616270030154132,-3.1271453697508167,11.743415399904949,0.08785057067871094,0.30195140838623047,1,0,1,0,3,0.2205,0.16326530612244897,5.217522144317627,0.1789054423570633,0,ts_out_tol,ts_out_tol
11,2,3,2,2,17.485103607177734,13.137949676063547,2.7914586483845842,10.346491027678963,0.134049654006958,0.4050784111022949,1,0,1,0,1,0.098,0.3673469387755102,26.749265670776367,0.09325572103261948,0,single_cycle,single_cycle;ts_out_tol
12,1,2,1,1,-2.325235366821289,9.632457954111032,-13.853494225572485,23.485952179683515,0.07973408699035645,0.2276768684387207,1,1,1,1,1,0.0715,0.05944055944055944,0.956099808216095,0.7437856793403625,0,single_cycle,low_jnr;single_cycle
