sample_idx,slot,k_active,nf_true,nf_pred,jnr_db,sisdr_db,mix_sisdr_db,sisdri_db,abs_tl_err_us,abs_ts_err_us,ok_tl,ok_ts,ok_nf,ok_total,burst_count,active_len_ratio,overlap_ratio,pred_energy_ratio,max_collapse_cos,is_sep_fail,reason_primary,reason_flags
0,1,2,1,1,-1.1598340272903442,6.927803661544734,-12.33447491614968,19.262278577694413,0.07183289527893066,0.13803815841674805,1,1,1,1,1,0.06925,1.0,0.6733905673027039,0.8454586863517761,0,heavy_overlap,heavy_overlap;low_jnr;single_cycle
0,2,2,2,2,11.012158393859863,22.69768405501178,6.755024924039581,15.9426591309722,0.010251045227050781,0.030838966369628906,1,1,1,1,1,0.1025,0.675609756097561,30.17408561706543,0.8445413112640381,0,heavy_overlap,heavy_overlap;single_cycle
1,0,3,2,1,-6.32415771484375,-2.0313066398205972,-19.794681998764343,17.763375358943748,0.19384849071502686,0.6142745018005371,0,0,0,0,2,0.122,0.3668032786885246,38.15336990356445,0.580150306224823,0,low_jnr,low_jnr;nf_wrong_class;sep_negative;tl_out_tol;ts_out_tol
1,1,3,1,0,-4.412161827087402,-5.812725568105705,-18.358541773033355,12.54581620492765,1.2179595232009888,0.5413637161254883,0,0,0,0,2,0.0895,0.5,0.02974853292107582,0.6983940005302429,0,nf_miss_to_0,low_jnr;nf_miss_to_0;pred_low_energy;sep_negative;tl_out_tol;ts_out_tol
1,2,3,3,3,12.576506614685059,28.30458300850241,7.885647595678098,20.41893541282431,0.025756478309631348,0.10180473327636719,1,1,1,1,1,0.07875,0.0,29.991432189941406,0.6983940005302429,0,single_cycle,single_cycle
2,0,3,2,2,-4.503344535827637,3.144857034891337,-14.318883841792275,17.463740876683612,0.0025327205657958984,0.007406711578369141,1,1,1,1,1,0.122,0.0,28.167579650878906,0.34788286685943604,0,single_cycle,low_jnr;single_cycle
2,1,3,1,1,-1.5775517225265503,2.9934629352040347,-11.646890269102766,14.6403532043068,0.2606818675994873,0.5137615203857422,0,0,1,0,2,0.103,0.21844660194174756,0.37349972128868103,0.5009644627571106,0,low_jnr,low_jnr;tl_out_tol;ts_out_tol
2,2,3,1,1,8.666083335876465,27.175378630256127,3.706825464282644,23.468553165973482,0.010205745697021484,0.020392179489135742,1,1,1,1,4,0.16,0.140625,31.731924057006836,0.5009644627571106,0,other,
3,0,2,3,3,-2.1204679012298584,2.6037284975462556,-8.818445771572476,11.422174269118731,0.19030439853668213,0.7664680480957031,0,0,1,0,1,0.12525,0.2694610778443114,14.331515312194824,0.2635688781738281,0,single_cycle,low_jnr;single_cycle;tl_out_tol;ts_out_tol
3,2,2,3,3,5.020929336547852,16.100009280074115,1.0218966104211507,15.078112669652965,0.04320991039276123,0.17265796661376953,1,1,1,1,1,0.10575,0.3191489361702128,24.755788803100586,0.5003490447998047,0,single_cycle,single_cycle
4,0,3,3,3,2.2497358322143555,-3.226218629805857,-15.246083509581776,12.01986487977592,0.027611494064331055,0.10382652282714844,1,1,1,1,1,0.21,0.5714285714285714,11.639679908752441,0.0677984356880188,0,single_cycle,sep_negative;single_cycle
4,1,3,3,3,12.431750297546387,16.91476505445879,-5.709949780966407,22.6247148354252,0.0313723087310791,0.1329803466796875,1,1,1,1,1,0.22425,0.0,4.462156772613525,0.17106296122074127,0,single_cycle,single_cycle
4,2,3,2,2,17.844512939453125,21.545595936233347,4.643231980124123,16.902363956109223,0.031056642532348633,0.09309864044189453,1,1,1,1,1,0.12,1.0,29.798622131347656,0.17106296122074127,0,heavy_overlap,heavy_overlap;single_cycle
5,0,3,1,1,-8.964948654174805,-0.3773226535023603,-15.610860824677488,15.233538171175127,0.32321298122406006,0.6464204788208008,0,0,1,0,4,0.158,0.0,13.172855377197266,0.4879419505596161,0,low_jnr,low_jnr;sep_negative;tl_out_tol;ts_out_tol
