sample_idx,slot,k_active,nf_true,nf_pred,jnr_db,sisdr_db,mix_sisdr_db,sisdri_db,abs_tl_err_us,abs_ts_err_us,ok_tl,ok_ts,ok_nf,ok_total,burst_count,active_len_ratio,overlap_ratio,pred_energy_ratio,max_collapse_cos,is_sep_fail,reason_primary,reason_flags
0,1,2,1,1,-1.1598340272903442,6.927803642424603,-12.33447491614968,19.262278558574284,0.07183194160461426,0.13803672790527344,1,1,1,1,1,0.06925,1.0,0.6733905076980591,0.8454586863517761,0,heavy_overlap,heavy_overlap;low_jnr;single_cycle
0,2,2,2,2,11.012158393859863,22.697684027918086,6.755024924039581,15.942659103878505,0.010250568389892578,0.030837535858154297,1,1,1,1,1,0.1025,0.675609756097561,30.174087524414062,0.8445411920547485,0,heavy_overlap,heavy_overlap;single_cycle
1,0,2,3,3,-2.1204679012298584,2.6037284902271667,-8.818445771572476,11.422174261799643,0.19033551216125488,0.7665891647338867,0,0,1,0,1,0.12525,0.2694610778443114,14.33151626586914,0.2635688781738281,0,single_cycle,low_jnr;single_cycle;tl_out_tol;ts_out_tol
1,2,2,3,3,5.020929336547852,16.100009269821555,1.0218966104211507,15.078112659400405,0.04320955276489258,0.17265653610229492,1,1,1,1,1,0.10575,0.3191489361702128,24.755788803100586,0.5003490447998047,0,single_cycle,single_cycle
2,1,2,1,1,0.06860940903425217,21.632169375893476,-10.615512231142274,32.24768160703575,0.22195672988891602,0.3011164665222168,0,0,1,0,1,0.068,0.0,1.7670338153839111,0.505048930644989,0,single_cycle,single_cycle;tl_out_tol;ts_out_tol
2,2,2,1,1,9.771506309509277,30.925924766214695,4.9988228071454754,25.92710195906922,0.08537745475769043,0.31555700302124023,1,0,1,0,1,0.06175,0.0,26.84543800354004,0.505048930644989,0,single_cycle,single_cycle;ts_out_tol
3,0,2,2,2,-8.798174858093262,0.5229395299145333,-20.82153626427203,21.344475794186565,0.09879863262176514,0.2966761589050293,1,0,1,0,3,0.2265,0.4227373068432671,23.806062698364258,0.7395656108856201,0,low_jnr,low_jnr;ts_out_tol
3,2,2,3,3,7.018965244293213,21.923479001418954,3.615772084927893,18.30770691649106,0.04325425624847412,0.17244958877563477,1,1,1,1,2,0.1845,0.518970189701897,32.224815368652344,0.31158798933029175,0,other,
4,1,2,2,2,9.570015907287598,20.933902614353773,-6.098177993272841,27.032080607626614,0.10591292381286621,0.2321615219116211,1,1,1,1,1,0.0785,0.0,2.3108646869659424,0.6771230697631836,0,single_cycle,single_cycle
4,2,2,2,2,15.399394035339355,33.390680834594455,4.95448915078459,28.436191683809867,0.017653465270996094,0.0476679801940918,1,1,1,1,1,0.108,0.0,29.461816787719727,0.6771230697631836,0,single_cycle,single_cycle
