sample_idx,slot,k_active,nf_true,nf_pred,jnr_db,sisdr_db,mix_sisdr_db,sisdri_db,abs_tl_err_us,abs_ts_err_us,ok_tl,ok_ts,ok_nf,ok_total,burst_count,active_len_ratio,overlap_ratio,pred_energy_ratio,max_collapse_cos,is_sep_fail,reason_primary,reason_flags
107,1,3,1,2,-7.072329044342041,-59.71904240716361,-19.58306059835565,-40.13598180880796,1.0586531162261963,4.047861099243164,0,0,0,0,1,0.03875,0.0,0.04053841531276703,0.843280553817749,1,sep_worse_than_mix,low_jnr;nf_wrong_class;sep_negative;sep_worse_than_mix;single_cycle;tl_out_tol;ts_out_tol
443,2,3,3,1,-7.818653583526611,-53.38887312082194,-19.075600369168665,-34.31327275165327,0.21857595443725586,2.075801134109497,0,0,0,0,2,0.1815,0.7892561983471075,0.40962639451026917,0.29883331060409546,1,sep_worse_than_mix,heavy_overlap;low_jnr;nf_wrong_class;sep_negative;sep_worse_than_mix;tl_out_tol;ts_out_tol
346,0,3,1,0,17.908063888549805,-27.258923230038057,-1.9330428537214934,-25.325880376316565,1.3234188556671143,0.6958658695220947,0,0,0,0,1,0.0505,0.599009900990099,0.29733771085739136,0.6028135418891907,1,nf_miss_to_0,nf_miss_to_0;sep_negative;sep_worse_than_mix;single_cycle;tl_out_tol;ts_out_tol
477,1,3,1,1,15.148499488830566,-24.584832197048637,-0.01041854944753612,-24.5744136476011,1.3281502723693848,2.6576895713806152,0,0,1,0,1,0.069,0.0,0.2545666992664337,0.7533562183380127,1,sep_worse_than_mix,sep_negative;sep_worse_than_mix;single_cycle;tl_out_tol;ts_out_tol
177,0,3,1,2,17.73388671875,-25.464194180708798,-1.5176727175374705,-23.94652146317133,1.2247174978256226,5.234624862670898,0,0,0,0,1,0.03925,0.0,9.716115951538086,0.14255666732788086,1,sep_worse_than_mix,nf_wrong_class;sep_negative;sep_worse_than_mix;single_cycle;tl_out_tol;ts_out_tol
50,1,3,2,0,15.06899642944336,-20.009605429684328,3.6924289121082525,-23.70203434179258,0.11690402030944824,5.6418304443359375,1,0,0,0,1,0.145,0.0,0.009583384729921818,0.8222255110740662,1,nf_miss_to_0,nf_miss_to_0;pred_low_energy;sep_negative;sep_worse_than_mix;single_cycle;ts_out_tol
344,0,3,1,0,-2.336244821548462,-26.083480427562765,-7.646983553336149,-18.436496874226616,0.9055452346801758,1.1982104778289795,0,0,0,0,1,0.05275,0.0,0.40093204379081726,0.7688824534416199,1,nf_miss_to_0,low_jnr;nf_miss_to_0;sep_negative;sep_worse_than_mix;single_cycle;tl_out_tol;ts_out_tol
152,0,3,1,0,14.0353364944458,-19.179993939381145,-0.9168395092636744,-18.26315443011747,0.8340368270874023,3.7504849433898926,0,0,0,0,1,0.073,0.0,0.10689318180084229,0.5327613949775696,1,nf_miss_to_0,nf_miss_to_0;sep_negative;sep_worse_than_mix;single_cycle;tl_out_tol;ts_out_tol
136,0,3,1,0,-2.514596462249756,-23.110124963607998,-7.924684950988103,-15.185440012619894,0.9476399421691895,0.20012593269348145,0,1,0,0,2,0.0575,0.0,0.24408426880836487,0.4580582082271576,1,nf_miss_to_0,low_jnr;nf_miss_to_0;sep_negative;sep_worse_than_mix;tl_out_tol
258,2,3,2,3,13.614924430847168,-17.058507526810903,-2.1055718614676646,-14.952935665343238,0.34736156463623047,1.3022170066833496,0,0,0,0,2,0.161,0.0,0.13979630172252655,0.9497074484825134,1,slot_collapse,nf_wrong_class;sep_negative;sep_worse_than_mix;slot_collapse;tl_out_tol;ts_out_tol
468,0,3,2,2,7.968294620513916,-17.672224380819564,-2.821454149499165,-14.8507702313204,0.1726980209350586,1.7139720916748047,0,0,1,0,1,0.1445,0.0,0.31852391362190247,0.6944504380226135,1,sep_worse_than_mix,sep_negative;sep_worse_than_mix;single_cycle;tl_out_tol;ts_out_tol
447,1,3,1,0,-8.386728286743164,-29.039125939561764,-14.31989640888393,-14.719229530677834,1.6042492389678955,3.120065689086914,0,0,0,0,5,0.14875,0.0,1.025581955909729,0.8256517052650452,1,nf_miss_to_0,low_jnr;nf_miss_to_0;sep_negative;sep_worse_than_mix;tl_out_tol;ts_out_tol
223,2,3,3,3,9.234188079833984,-16.12960191850139,-2.300958707935831,-13.82864321056556,0.35876011848449707,1.5383110046386719,0,0,1,0,1,0.21825,0.022909507445589918,0.11904571205377579,0.9513804912567139,1,slot_collapse,sep_negative;sep_worse_than_mix;single_cycle;slot_collapse;tl_out_tol;ts_out_tol
81,1,3,2,0,12.583431243896484,-14.894896392238612,-1.6948883359907145,-13.200008056247897,0.7036375999450684,1.718437671661377,0,0,0,0,1,0.1035,0.20048309178743962,0.025838682428002357,0.6640673875808716,1,nf_miss_to_0,nf_miss_to_0;pred_low_energy;sep_negative;sep_worse_than_mix;single_cycle;tl_out_tol;ts_out_tol
415,0,3,3,3,-6.633900165557861,-34.680045998015984,-21.624176709582965,-13.05586928843302,0.5836441516876221,2.328911781311035,0,0,1,0,1,0.16125,1.0,2.5441460609436035,0.6330686807632446,1,sep_worse_than_mix,heavy_overlap;low_jnr;sep_negative;sep_worse_than_mix;single_cycle;tl_out_tol;ts_out_tol
430,1,3,1,0,-9.398488998413086,-23.706988692261245,-10.794562607830105,-12.91242608443114,0.11900591850280762,2.43062424659729,1,0,0,0,1,0.07425,1.0,0.013886525295674801,0.68288654088974,1,nf_miss_to_0,heavy_overlap;low_jnr;nf_miss_to_0;pred_low_energy;sep_negative;sep_worse_than_mix;single_cycle;ts_out_tol
11,2,3,2,2,13.454886436462402,-10.505109507417531,0.09386862716733431,-10.598978134584865,0.45143556594848633,1.2665460109710693,0,0,1,0,3,0.189,0.0,0.17006711661815643,0.24516470730304718,1,sep_worse_than_mix,sep_negative;sep_worse_than_mix;tl_out_tol;ts_out_tol
280,1,3,2,0,13.000611305236816,-12.766872426727154,-2.3569833729976972,-10.409889053729458,0.7189240455627441,3.036444664001465,0,0,0,0,1,0.101,0.7277227722772277,0.19669052958488464,0.879751443862915,1,nf_miss_to_0,heavy_overlap;nf_miss_to_0;sep_negative;sep_worse_than_mix;single_cycle;tl_out_tol;ts_out_tol
396,2,3,3,2,-8.668500900268555,-24.61801810334835,-14.35299040087725,-10.265027702471102,0.46145784854888916,0.08653736114501953,0,1,0,0,1,0.1425,0.4,0.12986089289188385,0.166911318898201,1,sep_worse_than_mix,low_jnr;nf_wrong_class;sep_negative;sep_worse_than_mix;single_cycle;tl_out_tol
43,1,3,1,2,6.357514381408691,-16.447128439909296,-6.219182942427067,-10.227945497482228,1.008155345916748,3.733330726623535,0,0,0,0,1,0.0345,0.5144927536231884,0.353644460439682,0.6588104367256165,1,sep_worse_than_mix,nf_wrong_class;sep_negative;sep_worse_than_mix;single_cycle;tl_out_tol;ts_out_tol
198,1,3,2,0,18.930635452270508,-10.225507539895379,-0.30432675163102363,-9.921180788264355,0.9672122001647949,3.1220242977142334,0,0,0,0,1,0.1045,0.0,0.011236402206122875,0.8203562498092651,1,nf_miss_to_0,nf_miss_to_0;pred_low_energy;sep_negative;sep_worse_than_mix;single_cycle;tl_out_tol;ts_out_tol
445,1,3,3,1,4.104605674743652,-11.649406112295043,-2.1634460215944955,-9.485960090700548,0.8986673355102539,3.5872139930725098,0,0,0,0,1,0.156,0.0,0.05281966179609299,0.8641191124916077,1,sep_worse_than_mix,nf_wrong_class;sep_negative;sep_worse_than_mix;single_cycle;tl_out_tol;ts_out_tol
240,2,3,3,3,13.891555786132812,-8.468028526932441,0.8725488982608453,-9.340577425193286,0.46734702587127686,0.9436707496643066,0,0,1,0,2,0.219,0.2328767123287671,0.15643532574176788,0.9328583478927612,1,slot_collapse,sep_negative;sep_worse_than_mix;slot_collapse;tl_out_tol;ts_out_tol
57,1,3,1,1,3.929185152053833,-14.817163858552131,-5.903763726105176,-8.913400132446956,0.29793739318847656,0.5850634574890137,0,0,1,0,1,0.0545,0.0,0.276041716337204,0.6352421641349792,1,sep_worse_than_mix,sep_negative;sep_worse_than_mix;single_cycle;tl_out_tol;ts_out_tol
