sample_idx,slot,k_active,nf_true,nf_pred,jnr_db,sisdr_db,mix_sisdr_db,sisdri_db,abs_tl_err_us,abs_ts_err_us,ok_tl,ok_ts,ok_nf,ok_total,burst_count,active_len_ratio,overlap_ratio,pred_energy_ratio,max_collapse_cos,is_sep_fail,reason_primary,reason_flags
0,0,3,2,1,-6.32415771484375,-2.0313066397381503,-19.794681998764343,17.763375359026192,0.19384944438934326,0.6142776012420654,0,0,0,0,2,0.122,0.3668032786885246,38.15336990356445,0.580150306224823,0,low_jnr,low_jnr;nf_wrong_class;sep_negative;tl_out_tol;ts_out_tol
0,1,3,1,0,-4.412161827087402,-5.812725575996028,-18.358541773033355,12.545816197037327,1.2179652452468872,0.541358232498169,0,0,0,0,2,0.0895,0.5,0.02974853292107582,0.6983940005302429,0,nf_miss_to_0,low_jnr;nf_miss_to_0;pred_low_energy;sep_negative;tl_out_tol;ts_out_tol
0,2,3,3,3,12.576506614685059,28.304583238067337,7.885647595678098,20.41893564238924,0.025757193565368652,0.1018075942993164,1,1,1,1,1,0.07875,0.0,29.99142837524414,0.6983940005302429,0,single_cycle,single_cycle
1,0,3,2,2,-4.503344535827637,3.1448570361095713,-14.318883841792275,17.463740877901845,0.0025300979614257812,0.007399082183837891,1,1,1,1,1,0.122,0.0,28.167579650878906,0.34788286685943604,0,single_cycle,low_jnr;single_cycle
1,1,3,1,1,-1.5775517225265503,2.993462932970194,-11.646890269102766,14.64035320207296,0.26067471504211426,0.5137476921081543,0,0,1,0,2,0.103,0.21844660194174756,0.37349972128868103,0.5009644627571106,0,low_jnr,low_jnr;tl_out_tol;ts_out_tol
1,2,3,1,1,8.666083335876465,27.175378692229568,3.706825464282644,23.468553227946924,0.010208964347839355,0.020398616790771484,1,1,1,1,4,0.16,0.140625,31.731924057006836,0.5009644627571106,0,other,
2,0,3,3,3,2.2497358322143555,-3.226218623936541,-15.246083509581776,12.019864885645235,0.027608156204223633,0.10381507873535156,1,1,1,1,1,0.21,0.5714285714285714,11.639679908752441,0.0677984356880188,0,single_cycle,sep_negative;single_cycle
2,1,3,3,3,12.431750297546387,16.91476505655832,-5.709949780966407,22.624714837524728,0.0313723087310791,0.1329803466796875,1,1,1,1,1,0.22425,0.0,4.462156772613525,0.17106296122074127,0,single_cycle,single_cycle
2,2,3,2,2,17.844512939453125,21.545595938320623,4.643231980124123,16.9023639581965,0.031052589416503906,0.09308719635009766,1,1,1,1,1,0.12,1.0,29.798622131347656,0.17106296122074127,0,heavy_overlap,heavy_overlap;single_cycle
3,0,3,1,1,-8.964948654174805,-0.37732264493483425,-15.610860824677488,15.233538179742654,0.32321321964263916,0.646420955657959,0,0,1,0,4,0.158,0.0,13.172855377197266,0.4879419505596161,0,low_jnr,low_jnr;sep_negative;tl_out_tol;ts_out_tol
3,1,3,1,0,-1.8303238153457642,-9.439263195169708,-7.704561942043403,-1.734701253126305,0.19626951217651367,1.7787067890167236,0,0,0,0,1,0.0555,0.0,0.050073571503162384,0.4879419505596161,1,nf_miss_to_0,low_jnr;nf_miss_to_0;sep_negative;sep_worse_than_mix;single_cycle;tl_out_tol;ts_out_tol
3,2,3,1,1,1.7353984117507935,3.0394718540216985,-2.6914554141182623,5.730927268139961,0.01972675323486328,0.03939628601074219,1,1,1,1,1,0.05275,0.0,21.695009231567383,0.48015403747558594,0,single_cycle,single_cycle
4,0,3,2,2,2.3901851177215576,16.64235166436503,-14.235318032938816,30.877669697303844,0.0283353328704834,0.08487892150878906,1,1,1,1,1,0.135,0.0,30.237140655517578,0.12472403049468994,0,single_cycle,single_cycle
4,1,3,1,1,10.160181045532227,9.452411281553903,-5.3232545895695695,14.775665871123472,0.1237328052520752,0.24617671966552734,1,1,1,1,1,0.073,0.1267123287671233,1.686673641204834,0.12472403049468994,0,single_cycle,single_cycle
4,2,3,1,1,15.412013053894043,16.573588799064968,3.831504160387561,12.742084638677408,0.05041670799255371,0.1007533073425293,1,1,1,1,2,0.12,0.07708333333333334,28.722314834594727,0.08745402842760086,0,other,
