C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\nn\modules\transformer.py:379: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.norm_first was True
  warnings.warn(
2026-03-05 00:14:20,859 | INFO | Epoch 001 | train L=-4.90125 A_total=0.0077 NF_acc=0.3845 skip=0 | val L=-8.09271 A_total=0.0064 NF_acc=0.4750 skip=0
2026-03-05 00:14:56,553 | INFO | Epoch 002 | train L=-7.90277 A_total=0.0268 NF_acc=0.4971 skip=0 | val L=-9.73205 A_total=0.0324 NF_acc=0.5080 skip=0
2026-03-05 00:15:30,887 | INFO | Epoch 003 | train L=-9.34148 A_total=0.0535 NF_acc=0.5593 skip=0 | val L=-9.43983 A_total=0.0274 NF_acc=0.5173 skip=0
2026-03-05 00:16:03,083 | INFO | Epoch 004 | train L=-10.67374 A_total=0.0888 NF_acc=0.6055 skip=0 | val L=-10.80491 A_total=0.0506 NF_acc=0.5503 skip=0
2026-03-05 00:16:35,509 | INFO | Epoch 005 | train L=-11.68391 A_total=0.1355 NF_acc=0.6423 skip=0 | val L=-12.69616 A_total=0.0928 NF_acc=0.6253 skip=0
2026-03-05 00:17:02,186 | INFO | Epoch 006 | train L=-12.36183 A_total=0.1716 NF_acc=0.6669 skip=0 | val L=-13.33792 A_total=0.0973 NF_acc=0.6333 skip=0
2026-03-05 00:18:07,484 | INFO | Epoch 007 | train L=-13.01290 A_total=0.1876 NF_acc=0.6842 skip=0 | val L=-13.88737 A_total=0.1941 NF_acc=0.6183 skip=0
2026-03-05 00:19:23,917 | INFO | Epoch 008 | train L=-13.83997 A_total=0.2108 NF_acc=0.6927 skip=0 | val L=-14.09612 A_total=0.0914 NF_acc=0.6397 skip=0
2026-03-05 00:19:57,281 | INFO | Epoch 009 | train L=-14.37785 A_total=0.2350 NF_acc=0.7130 skip=0 | val L=-14.69223 A_total=0.1507 NF_acc=0.5980 skip=0
2026-03-05 00:20:21,194 | INFO | Epoch 010 | train L=-14.98266 A_total=0.2431 NF_acc=0.7261 skip=0 | val L=-14.78419 A_total=0.1424 NF_acc=0.6887 skip=0
2026-03-05 00:20:45,164 | INFO | Epoch 011 | train L=-15.51171 A_total=0.2593 NF_acc=0.7380 skip=0 | val L=-14.77251 A_total=0.0702 NF_acc=0.7147 skip=0
2026-03-05 00:21:09,161 | INFO | Epoch 012 | train L=-15.77840 A_total=0.2810 NF_acc=0.7457 skip=0 | val L=-14.72481 A_total=0.1806 NF_acc=0.7293 skip=0
2026-03-05 00:21:33,083 | INFO | Epoch 013 | train L=-16.47670 A_total=0.2920 NF_acc=0.7606 skip=0 | val L=-16.20976 A_total=0.2583 NF_acc=0.7370 skip=0
2026-03-05 00:21:57,087 | INFO | Epoch 014 | train L=-16.73781 A_total=0.2847 NF_acc=0.7592 skip=0 | val L=-15.87186 A_total=0.2877 NF_acc=0.7653 skip=0
2026-03-05 00:22:21,056 | INFO | Epoch 015 | train L=-17.27962 A_total=0.3029 NF_acc=0.7731 skip=0 | val L=-17.10451 A_total=0.2393 NF_acc=0.7650 skip=0
2026-03-05 00:22:44,993 | INFO | Epoch 016 | train L=-17.53610 A_total=0.2907 NF_acc=0.7734 skip=0 | val L=-16.97400 A_total=0.2168 NF_acc=0.7727 skip=0
2026-03-05 00:23:08,981 | INFO | Epoch 017 | train L=-17.82267 A_total=0.3334 NF_acc=0.7855 skip=0 | val L=-15.82750 A_total=0.2802 NF_acc=0.7313 skip=0
2026-03-05 00:23:32,846 | INFO | Epoch 018 | train L=-18.22612 A_total=0.3209 NF_acc=0.7866 skip=0 | val L=-17.47867 A_total=0.1785 NF_acc=0.7657 skip=0
